"","FECHA_Q","FECHA_A","IDENT_ACREEDORA","IDENT_DEUDORA","PRESTAMOS","IDENT","A_ActivoN","A_APRestamos","A_GRUPO_ID_UNI","D_ActivoN","D_APRestamos","D_GRUPO_ID_UNI","_merge","W_A_A","W_A_PR","FECHA_D","W_D_A","W_D_A_w","W_D_PR","W_D_PR_w","weight"
"877",1998 Q3,1998,137,150,8004,150,314563,180655.328125,2,4115712,2310125,1,3,0.0254448242485523,0.0443053618073463,1998-07-01,0.00194474251475185,0.00194474251475185,0.00346474768593907,0.00346474768593907,4.43053618073463
"878",1998 Q1,1998,137,255,83.1999969482422,255,283153.65625,144581.328125,2,1658758.375,994237.3125,3,3,0.000293833378236741,0.000575454672798514,1998-01-01,5.01579961564858e-05,5.01579961564858e-05,8.36822291603312e-05,8.36822291603312e-05,0.0575454672798514
"879",1998 Q3,1998,137,255,49.0499992370605,255,314563,180655.328125,2,1696600,1083461.375,3,3,0.000155930611072108,0.000271511496976018,1998-07-01,2.89107629214413e-05,2.89107629214413e-05,4.52715721621644e-05,4.52715721621644e-05,0.0271511496976018
"880",1998 Q1,1998,137,314,241.199996948242,314,283153.65625,144581.328125,2,1169860.625,733893,3,3,0.000851834309287369,0.00166826520580798,1998-01-01,0.000206178403459489,0.000206178403459489,0.000328658265061677,0.000328658265061677,0.166826520580798
"881",1998 Q3,1998,137,314,247.800003051758,314,314563,180655.328125,2,1313052,810452.6875,3,3,0.000787759548984468,0.00137167284265161,1998-07-01,0.000188720630831085,0.000188720630831085,0.000305755063891411,0.000305755063891411,0.137167284265161
"882",1998 Q1,1998,147,61,598.299987792969,61,267792.65625,181587.328125,1,455969,136553,3,3,0.00223419116809964,0.00329483347013593,1998-01-01,0.00131215061992407,0.00131215061992407,0.00438144896179438,0.00438144896179438,0.329483347013593
"883",1998 Q3,1998,147,61,410.5,61,387595.65625,225297,1,NA,NA,NA,1,0.00105909339617938,0.0018220393685624,1998-07-01,NA,NA,NA,NA,0.18220393685624
"884",1998 Q1,1998,147,178,14.8999996185303,178,267792.65625,181587.328125,1,28441.666015625,15326,3,3,5.56400591449346e-05,8.20541827124543e-05,1998-01-01,0.000523879309184849,0.000523879309184849,0.000972204084973782,0.000972204084973782,0.00820541827124543
"885",1998 Q3,1998,147,178,3,178,387595.65625,225297,1,30139.333984375,14652,3,3,7.74002455727896e-06,1.33157564050634e-05,1998-07-01,9.95376976788975e-05,9.95376976788975e-05,0.000204750205739401,0.000204750205739401,0.00133157564050634
"886",1998 Q1,1998,147,281,3384,281,267792.65625,181587.328125,1,187569,109455,1,3,0.0126366419717669,0.0186356622725725,1998-01-01,0.0180413611233234,0.0180413611233234,0.030916815623641,0.030916815623641,1.86356622725725
"887",1998 Q3,1998,147,281,2049.30004882812,281,387595.65625,225297,1,189194.328125,97790.6640625,1,3,0.00528721092268825,0.00909599382430315,1998-07-01,0.0108317201957107,0.0108317201957107,0.0209559891372919,0.0209559891372919,0.909599382430315
"888",1998 Q1,1998,147,299,10.6999998092651,299,267792.65625,181587.328125,1,268124.34375,71943.3359375,3,3,3.9956285036169e-05,5.89248156757094e-05,1998-01-01,3.9906855818117e-05,3.9906855818117e-05,0.000148728155181743,0.000148728155181743,0.00589248156757094
